id,symbol,name,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,last_updated,report_generated_at
bitcoin,BTC,Bitcoin,94824.0,1893271462659,-1.74515,96933.0,94369.0,2026-01-16 16:21:22.221000+00:00,2026-01-16 18:21:31.843161
ethereum,ETH,Ethereum,3274.46,394596593467,-1.45819,3330.85,3258.59,2026-01-16 16:21:22.206000+00:00,2026-01-16 18:21:31.843161
solana,SOL,Solana,141.41,79718202275,-1.20099,143.88,140.76,2026-01-16 16:21:24.099000+00:00,2026-01-16 18:21:31.843161
dogecoin,DOGE,Dogecoin,0.13624,22877866700,-3.93759,0.141986,0.135663,2026-01-16 16:21:22.385000+00:00,2026-01-16 18:21:31.843161
