id,symbol,name,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,last_updated,report_generated_at
bitcoin,BTC,Bitcoin,94734.0,1893271462659,-1.76525,96933.0,94369.0,2026-01-16 16:20:12.270000+00:00,2026-01-16 18:20:14.839356
ethereum,ETH,Ethereum,3266.79,394596593467,-1.55681,3330.85,3258.59,2026-01-16 16:20:12.293000+00:00,2026-01-16 18:20:14.839356
solana,SOL,Solana,141.29,79718202275,-1.2896,143.88,140.76,2026-01-16 16:20:02.297000+00:00,2026-01-16 18:20:14.839356
dogecoin,DOGE,Dogecoin,0.136093,22877866700,-3.931,0.141986,0.135663,2026-01-16 16:20:02.231000+00:00,2026-01-16 18:20:14.839356
